identifier,category,timestamp,x,y
6.0,0.0,1682594204.0224464,802,311
6.0,0.0,1682594204.1603007,758,298
6.0,0.0,1682594204.298155,748,299
6.0,0.0,1682594204.4360094,739,296
6.0,0.0,1682594204.5738637,729,296
6.0,0.0,1682594204.711718,720,292
6.0,0.0,1682594204.8495724,710,293
6.0,0.0,1682594204.9874265,706,276
6.0,0.0,1682594205.1252809,697,286
6.0,0.0,1682594205.2631352,690,279
6.0,0.0,1682594205.4009895,685,279
6.0,0.0,1682594205.5388439,679,273
6.0,0.0,1682594205.6766982,675,274
6.0,0.0,1682594205.8145525,669,262
6.0,0.0,1682594205.9524066,665,261
6.0,0.0,1682594206.090261,660,260
6.0,0.0,1682594206.2281153,656,254
6.0,0.0,1682594206.3659697,652,252
6.0,0.0,1682594206.503824,649,257
6.0,0.0,1682594206.6416783,644,250
6.0,0.0,1682594206.7795327,641,252
6.0,0.0,1682594206.9173868,638,249
6.0,0.0,1682594207.055241,634,247
6.0,0.0,1682594207.1930954,631,245
6.0,0.0,1682594207.3309498,628,243
6.0,0.0,1682594207.4688041,626,240
6.0,0.0,1682594207.6066585,621,231
6.0,0.0,1682594207.7445128,620,227
6.0,0.0,1682594207.8823671,616,233
6.0,0.0,1682594208.0202212,615,226
6.0,0.0,1682594208.1580756,612,228
6.0,0.0,1682594208.29593,609,223
6.0,0.0,1682594208.4337842,608,210
6.0,0.0,1682594208.5716386,605,218
6.0,0.0,1682594208.709493,603,219
6.0,0.0,1682594208.8473473,602,215
6.0,0.0,1682594208.9852014,599,215
6.0,0.0,1682594209.1230557,598,214
6.0,0.0,1682594209.26091,596,210
6.0,0.0,1682594209.3987644,596,210
6.0,0.0,1682594209.5366187,594,209
6.0,0.0,1682594209.674473,593,202
6.0,0.0,1682594209.8123274,592,202
6.0,0.0,1682594209.9501815,590,203
6.0,0.0,1682594210.0880358,589,202
6.0,0.0,1682594210.2258902,589,200
7.0,3.0,1682594201.1208632,1038,482
11.0,2.0,1682594209.2526996,410,149
11.0,2.0,1682594209.3464618,416,150
11.0,2.0,1682594209.4402242,421,150
11.0,2.0,1682594209.5339866,425,152
12.0,2.0,1682594210.9134285,492,160
12.0,2.0,1682594211.0436964,494,160
12.0,2.0,1682594211.1739645,493,160
12.0,2.0,1682594211.3042324,494,161
12.0,2.0,1682594211.4345002,494,161
12.0,2.0,1682594211.564768,495,162
12.0,2.0,1682594211.695036,495,162
12.0,2.0,1682594211.825304,496,162
12.0,2.0,1682594211.955572,497,161
12.0,2.0,1682594212.0858397,498,162
12.0,2.0,1682594212.2161078,499,163
12.0,2.0,1682594212.3463757,499,163
12.0,2.0,1682594212.4766436,500,163
12.0,2.0,1682594212.6069114,502,164
12.0,2.0,1682594212.7371793,502,164
12.0,2.0,1682594212.8674474,503,164
12.0,2.0,1682594212.9977152,504,164
12.0,2.0,1682594213.127983,506,165
12.0,2.0,1682594213.2582512,506,166
12.0,2.0,1682594213.388519,508,167
12.0,2.0,1682594213.518787,508,167
12.0,2.0,1682594213.6490548,510,167
12.0,2.0,1682594213.7793226,512,169
12.0,2.0,1682594213.9095907,514,170
12.0,2.0,1682594214.0398586,515,172
12.0,2.0,1682594214.1701264,516,172
12.0,2.0,1682594214.3003945,517,172
12.0,2.0,1682594214.4306624,518,173
12.0,2.0,1682594214.5609303,521,174
12.0,2.0,1682594214.691198,525,175
12.0,2.0,1682594214.821466,525,176
12.0,2.0,1682594214.951734,525,176
12.0,2.0,1682594215.082002,526,177
12.0,2.0,1682594215.2122698,528,179
12.0,2.0,1682594215.3425379,531,180
12.0,2.0,1682594215.4728057,533,182
12.0,2.0,1682594215.6030736,534,183
12.0,2.0,1682594215.7333415,537,185
12.0,2.0,1682594215.8636093,537,186
12.0,2.0,1682594215.9938774,538,187
12.0,2.0,1682594216.1241453,541,188
12.0,2.0,1682594216.2544131,544,190
12.0,2.0,1682594216.3846812,546,191
12.0,2.0,1682594216.514949,548,192
12.0,2.0,1682594216.645217,549,193
12.0,2.0,1682594216.7754848,551,194
12.0,2.0,1682594216.9057527,554,197
12.0,2.0,1682594217.0360208,555,197
12.0,2.0,1682594217.1662886,558,198
12.0,2.0,1682594217.2965565,559,199
12.0,2.0,1682594217.4268246,562,201
12.0,2.0,1682594217.5570924,565,203
12.0,2.0,1682594217.6873603,566,204
12.0,2.0,1682594217.8176281,569,207
12.0,2.0,1682594217.947896,572,209
12.0,2.0,1682594218.078164,575,211
12.0,2.0,1682594218.208432,577,212
12.0,2.0,1682594218.3386998,579,214
12.0,2.0,1682594218.468968,581,217
12.0,2.0,1682594218.5992358,583,219
12.0,2.0,1682594218.7295036,587,221
12.0,2.0,1682594218.8597715,589,222
12.0,2.0,1682594218.9900393,591,225
12.0,2.0,1682594219.1203074,593,227
12.0,2.0,1682594219.2505753,595,228
12.0,2.0,1682594219.3808432,599,233
12.0,2.0,1682594219.5111113,602,238
12.0,2.0,1682594219.641379,604,241
12.0,2.0,1682594219.771647,606,244
12.0,2.0,1682594219.9019148,608,246
12.0,2.0,1682594220.0321827,612,250
12.0,2.0,1682594220.1624508,616,253
12.0,2.0,1682594220.2927186,618,257
12.0,2.0,1682594220.4229865,622,262
